Objects
100
,,Global Angle drone1:drone1,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
81,0,-0.044698,-0.001890,1.516990,-607.495056,-1522.039551,65.107597
82,0,-0.044142,-0.001757,1.516386,-607.485352,-1522.014526,65.134422
83,0,-0.044490,-0.002212,1.516825,-607.501160,-1522.019653,65.119987
84,0,-0.043985,-0.001986,1.516466,-607.471436,-1522.003540,65.135506
85,0,-0.044431,-0.001971,1.516549,-607.462463,-1521.990479,65.140038
86,0,-0.044534,-0.001913,1.516805,-607.474854,-1522.002563,65.120422
87,0,-0.043857,-0.001998,1.516920,-607.489075,-1522.005249,65.138245
88,0,-0.043728,-0.001910,1.516556,-607.509033,-1522.032959,65.109833
89,0,-0.044754,-0.001548,1.516683,-607.517212,-1522.047607,65.091858
90,0,-0.043966,-0.001162,1.516839,-607.559570,-1522.076538,65.062691
91,0,-0.044190,-0.002011,1.516740,-607.534302,-1522.047974,65.110054
92,0,-0.044211,-0.001832,1.516564,-607.527405,-1522.042847,65.102470
93,0,-0.043597,-0.001457,1.516005,-607.515320,-1522.036255,65.117943
94,0,-0.046954,-0.006801,1.517077,-607.508240,-1522.011841,65.094444
95,0,-0.043924,-0.001284,1.516610,-607.493896,-1522.000366,65.118454
96,0,-0.044690,-0.001827,1.517006,-607.502258,-1522.014648,65.105553
97,0,-0.042704,-0.001423,1.516253,-607.476746,-1521.999023,65.144783
98,0,-0.043339,-0.001334,1.516595,-607.503845,-1522.024414,65.116821
99,0,-0.044212,-0.001822,1.516671,-607.499695,-1522.030273,65.104500
100,0,-0.043843,-0.001228,1.516627,-607.512146,-1522.036255,65.105614
101,0,-0.043817,-0.001348,1.517120,-607.544922,-1522.057129,65.089706
102,0,-0.043841,-0.001466,1.517080,-607.528503,-1522.057495,65.091919
103,0,-0.044074,-0.001947,1.516751,-607.511169,-1522.041992,65.113274
104,0,-0.043154,-0.001422,1.516333,-607.531128,-1522.051270,65.109261
105,0,-0.045382,-0.004656,1.516793,-607.482300,-1522.009277,65.101768
106,0,-0.044063,-0.001407,1.516714,-607.489990,-1522.014038,65.113403
107,0,-0.043053,-0.001267,1.516325,-607.477661,-1522.000366,65.130554
108,0,-0.044311,-0.002229,1.516205,-607.463867,-1521.990234,65.118759
109,0,-0.043441,-0.001483,1.516467,-607.515564,-1522.031982,65.101318
110,0,-0.044007,-0.001277,1.516440,-607.481873,-1522.015503,65.110046
111,0,-0.043726,-0.001475,1.516768,-607.490784,-1522.012207,65.133995
112,0,-0.044785,-0.002421,1.516597,-607.519836,-1522.049805,65.106819
113,0,-0.044327,-0.001741,1.516999,-607.566223,-1522.080566,65.060455
114,0,-0.044465,-0.002163,1.516654,-607.547729,-1522.071411,65.085884
115,0,-0.043824,-0.001574,1.516486,-607.537292,-1522.062012,65.083359
116,0,-0.043019,-0.001327,1.516488,-607.531067,-1522.030518,65.110138
117,0,-0.044475,-0.001925,1.516745,-607.497314,-1522.017212,65.115562
118,0,-0.042697,-0.000231,1.516677,-607.513428,-1521.997925,65.112411
119,0,-0.044014,-0.001252,1.517007,-607.506287,-1522.008667,65.117104
120,0,-0.043543,-0.001126,1.516783,-607.501892,-1522.000244,65.103149
121,0,-0.044268,-0.002741,1.516196,-607.472229,-1521.995605,65.140442
122,0,-0.042751,-0.000780,1.516221,-607.499146,-1522.015015,65.125809
123,0,-0.043592,-0.001764,1.516230,-607.542175,-1522.072876,65.066910
124,0,-0.044358,-0.001462,1.517049,-607.550354,-1522.074341,65.058754
125,0,-0.043250,-0.000906,1.516943,-607.532349,-1522.062134,65.074760
126,0,-0.044228,-0.001812,1.516247,-607.503174,-1522.047485,65.091049
127,0,-0.044005,-0.001051,1.516819,-607.532349,-1522.057983,65.081772
128,0,-0.043996,-0.001448,1.516640,-607.505798,-1522.028809,65.106827
129,0,-0.043862,-0.001643,1.516566,-607.458740,-1521.981201,65.149986
130,0,-0.044591,-0.002073,1.516793,-607.465759,-1521.982910,65.145538
131,0,-0.043417,-0.001310,1.516569,-607.463806,-1521.985840,65.150795
132,0,-0.044251,-0.001845,1.516258,-607.487976,-1522.019531,65.121109
133,0,-0.044637,-0.002265,1.516559,-607.463867,-1522.008179,65.132957
134,0,-0.043732,-0.001329,1.516520,-607.535889,-1522.058960,65.090965
135,0,-0.043214,-0.000889,1.516719,-607.517090,-1522.034790,65.103577
136,0,-0.042973,-0.000460,1.516598,-607.554749,-1522.071899,65.079315
137,0,-0.045351,-0.002731,1.516886,-607.524475,-1522.059814,65.083183
138,0,-0.044392,-0.002170,1.516837,-607.514038,-1522.034912,65.097939
139,0,-0.043562,-0.001413,1.516426,-607.503784,-1522.021484,65.112450
140,0,-0.043814,-0.001309,1.517101,-607.529175,-1522.040649,65.075424
141,0,-0.043571,-0.001391,1.517019,-607.515991,-1522.022949,65.110168
142,0,-0.043354,-0.001197,1.516787,-607.511353,-1522.018677,65.106003
143,0,-0.044554,-0.001998,1.516812,-607.514832,-1522.026123,65.112366
144,0,-0.044762,-0.001900,1.516882,-607.544067,-1522.058716,65.065102
145,0,-0.044299,-0.001878,1.516901,-607.509827,-1522.036133,65.111984
146,0,-0.043671,-0.001250,1.516869,-607.511292,-1522.020996,65.126831
147,0,-0.042688,-0.001154,1.516372,-607.529968,-1522.041016,65.107773
148,0,-0.042202,-0.000605,1.516375,-607.500305,-1522.029175,65.116615
149,0,-0.043144,-0.001206,1.516495,-607.513550,-1522.049927,65.107742
150,0,-0.043777,-0.000911,1.516775,-607.512085,-1522.041870,65.085472
151,0,-0.043295,-0.000739,1.516662,-607.481812,-1522.018188,65.117485
152,0,-0.044140,-0.001701,1.516601,-607.491943,-1522.018921,65.122437
153,0,-0.043041,-0.001566,1.516282,-607.493774,-1522.005737,65.122833
154,0,-0.043940,-0.001403,1.516566,-607.489258,-1522.010742,65.115768
155,0,-0.043081,-0.000851,1.516753,-607.507507,-1522.013184,65.116905
156,0,-0.044016,-0.001939,1.516797,-607.504944,-1522.026001,65.117722
157,0,-0.044095,-0.002158,1.516507,-607.499756,-1522.033447,65.116394
158,0,-0.044952,-0.002343,1.516938,-607.517578,-1522.040039,65.101891
159,0,-0.044311,-0.001492,1.517133,-607.533630,-1522.050293,65.098030
160,0,-0.043985,-0.001488,1.516765,-607.518799,-1522.046997,65.089882
161,0,-0.043919,-0.001423,1.516569,-607.511719,-1522.037231,65.110283
162,0,-0.043595,-0.001269,1.516514,-607.515930,-1522.036865,65.098839
163,0,-0.043617,-0.001528,1.516603,-607.487305,-1522.005615,65.123581
164,0,-0.044314,-0.001489,1.516775,-607.478333,-1522.005737,65.120743
165,0,-0.043845,-0.001296,1.516705,-607.512634,-1522.022339,65.104172
166,0,-0.046697,-0.006114,1.516699,-607.449158,-1521.995605,65.112297
167,0,-0.044040,-0.001672,1.517099,-607.534729,-1522.037598,65.093163
168,0,-0.044501,-0.001609,1.516577,-607.518311,-1522.051514,65.080788
169,0,-0.044010,-0.001313,1.516562,-607.537598,-1522.050659,65.084839
170,0,-0.045014,-0.002347,1.516725,-607.536743,-1522.065918,65.070160
171,0,-0.043337,-0.001209,1.516700,-607.518311,-1522.029175,65.113274
172,0,-0.044197,-0.002131,1.517038,-607.525452,-1522.030151,65.100342
173,0,-0.044946,-0.002233,1.516955,-607.502930,-1522.026001,65.096077
174,0,-0.043037,-0.000639,1.516709,-607.517090,-1522.026733,65.106636
175,0,-0.043003,-0.000979,1.516415,-607.506592,-1522.022705,65.115265
176,0,-0.044052,-0.002320,1.516633,-607.499207,-1522.036499,65.109062
177,0,-0.043728,-0.001496,1.516160,-607.464905,-1522.014160,65.134308
178,0,-0.043247,-0.001297,1.516622,-607.493042,-1522.025146,65.119286
179,0,-0.043813,-0.001416,1.516347,-607.471436,-1522.012329,65.130173
180,0,-0.043495,-0.001091,1.516680,-607.512512,-1522.038940,65.103424
181,0,-0.044216,-0.001815,1.516980,-607.495605,-1522.019775,65.113289
182,0,-0.043949,-0.001258,1.516655,-607.512695,-1522.029053,65.105881
183,0,-0.043582,-0.001199,1.516706,-607.539917,-1522.044556,65.099632
184,0,-0.043585,-0.001261,1.517164,-607.520020,-1522.045654,65.107803
185,0,-0.043939,-0.001044,1.516474,-607.552490,-1522.075928,65.043617
186,0,-0.043435,-0.001212,1.516580,-607.505981,-1522.033691,65.124420
187,0,-0.044378,-0.002390,1.516739,-607.509277,-1522.040283,65.081955
188,0,-0.043595,-0.001624,1.516593,-607.509644,-1522.015869,65.122154
